company,week_start,orders,canceled,total_qty,gmv_idr,cod_orders,jubelio_shipment_orders,orders_shopee,orders_tokopedia,orders_lazada,orders_other
Company_B,2024-01-01,29071,1030,34234,5130389649,14043,0,17722,9100,2239,10
Company_B,2024-01-08,21217,776,23681,3785546066,10522,0,11341,8499,1259,118
Company_B,2024-01-15,26156,943,29083,4555936125,13440,0,13051,11536,1271,298
Company_B,2024-01-22,36308,1305,41177,6138266753,19084,0,16136,18228,1678,266
Company_B,2024-01-29,45799,1789,51402,7806299562,23138,0,20943,22704,1917,235
Company_B,2024-02-05,26166,951,28898,4613939570,13525,0,12030,12606,1366,164
Company_B,2024-02-12,29173,818,31786,5039871079,15540,0,16543,11213,974,443
Company_B,2024-02-19,36272,1417,40721,6065569207,18585,0,19508,14714,1577,473
Company_B,2024-02-26,58228,2047,66118,9778833217,28526,0,33352,22608,2000,268
Company_B,2024-03-04,47579,1755,55426,8404637664,25593,0,24055,21154,2070,300
Company_B,2024-03-11,57066,2429,63832,9964794038,33586,0,27367,27444,2003,252
Company_B,2024-03-18,76101,3850,85419,13348488915,45173,0,42128,29847,3821,305
Company_B,2024-03-25,116526,7896,130900,19994374696,68056,0,66269,42446,7620,191
Company_B,2024-04-01,85866,5388,100015,14540852839,47993,0,48852,30022,6916,76
Company_B,2024-04-08,27238,2353,30163,4703676793,16686,0,13542,12525,1108,63
Company_B,2024-04-15,24772,983,27795,4175907000,12707,0,15376,8138,960,298
Company_B,2024-04-22,27132,1248,31342,4492819958,12887,0,16351,8944,1584,253
Company_B,2024-04-29,33949,1685,41003,5488243145,14931,0,21215,10855,1677,202
Company_B,2024-05-06,22404,918,25958,3762327038,9703,0,13731,6852,1633,188
Company_B,2024-05-13,26005,1319,28936,4287141941,12243,0,15161,10012,641,191
Company_B,2024-05-20,30823,1535,35651,5022654620,14059,0,17893,11710,1022,198
Company_B,2024-05-27,31157,1370,35035,5187413133,13416,0,18990,10936,1028,203
Company_B,2024-06-03,46989,2287,53280,7641603275,21194,0,26698,16693,3359,239
Company_B,2024-06-10,30664,2214,34227,5283351398,15973,0,13221,15611,1645,187
Company_B,2024-06-17,25452,1488,29394,4337933817,12803,0,12882,11437,999,134
Company_B,2024-06-24,31404,1396,35292,5327554491,14752,0,16437,13161,1632,174
